"","V1"
" www.ps92.com/",8
" www.marie-noelle-lienemann.fr/blog_marie_noelle_lienemann",11
" www.monneuilly.com/",7
" lioneljospin.parti-socialiste.fr/",2
" etmaintenant.over-blog.com/",1
" www.radicale-attitude.net/",3
" www.eddieait.com//",6
" prg-le-havre.over-blog.org/",6
" www.planeteradicale.org",1
" blog.riposte-radicale.org/",7
" vincentgarelinfosetdebats.over-blog.com//",10
" jeanlevain.typepad.com/",6
" cergy-2008.blogspot.com/",8
" ericmontes.over-blog.net/",9
" taubira2007.over-blog.net/",5
" meklat.prg07.org/",6
" paris.jeunes-communistes.org/home.php",6
" www.pcf.fr",2
" www.editoweb.eu/pcf_salondeprovence/",3
" libresechanges.humanite.fr/",2
" www.mgbuffet.org/",6
" www.patrice-leclerc.org/",6
" mnr42.over-blog.com/",4
" www.pageliberale.org/",10
" reseaulib.org/",8
" hayek.skyblog.com/",6
" www.liberte-cherie.com",7
" www.liberaux.org",4
" chroniquespatagones.blogspirit.com",6
" quitter_la_secu.blogspot.com/",3
" patrick-madrolle.laissez-faire.eu/",4
" www.copeau.org/",3
" chacun-pour-soi.blogspot.com/",3
" www.lcr-rouge.org",7
" pascalerre.hautetfort.com/",3
" fnvar.hautetfort.com/",6
" editherre.hautetfort.com/",2
" hugues.blogs.com",12
" sarkostique.over-blog.com",12
" www.placedelademocratie.net",6
" www.page2007.com/",12
" blog.netpolitique.net/",1
" www.election-presidentielle.fr/",11
" www.debat2007.fr/",11
" www.politique20.info",4
" ceteris-paribus.blogspot.com/",6
" vanb.typepad.com/versac/",12
" presidentielle.2007.free.fr/",8
" www.cap21.net",5
" corinnelepage.hautetfort.com/",6
" etudiants.alternative-liberale.over-blog.com/",5
" alternativeliberale91.blogspot.com/",5
" alternativeliberale20e.over-blog.com/",4
" www.alternative-liberale.fr/blogs/",8
" alternative38.fr/",7
" aurel.hautetfort.com/",1
" alternative-liberale-15e.blogspot.com/",4
" al-jura.hautetfort.com/",3
" blog.liberteavenir.fr/",3
" blog.edouard-fillias.fr/",2
" salina.hautetfort.com/",3
" alternativeliberale12e.over-blog.org/",5
" alternativeliberale18e.over-blog.org/",5
" caccomo.blogspot.com/",4
" alternative-liberale-lorraine.blogspot.com/",1
